mode,model,modality,type,ratio,acc,weighted_f1,macro_f1,acc_mean,acc_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,seeds
random,no_recovery,random,C,1.0,,,,0.6885,0.0092,0.6555,0.0127,0.5252,0.0191,"[42, 43, 44, 45, 46]"
random,no_recovery,random,D,1.0,,,,0.6553,0.0057,0.6073,0.0076,0.4682,0.0067,"[42, 43, 44, 45, 46]"
random,no_recovery,random,C+D,1.0,,,,0.6668,0.0072,0.6267,0.0087,0.4928,0.0159,"[42, 43, 44, 45, 46]"
random,no_quality,random,C,0.2,,,,0.6996,0.0065,0.6844,0.007,0.5646,0.0113,"[42, 43, 44, 45, 46]"
random,no_quality,random,D,0.2,,,,0.6903,0.0058,0.673,0.0061,0.5461,0.0089,"[42, 43, 44, 45, 46]"
random,no_quality,random,C+D,0.2,,,,0.6934,0.0065,0.6774,0.0069,0.5544,0.0115,"[42, 43, 44, 45, 46]"
random,no_quality,random,C,0.4,,,,0.692,0.0035,0.6763,0.004,0.558,0.0114,"[42, 43, 44, 45, 46]"
random,no_quality,random,D,0.4,,,,0.6783,0.008,0.6595,0.0067,0.5299,0.0051,"[42, 43, 44, 45, 46]"
random,no_quality,random,C+D,0.4,,,,0.6836,0.0078,0.6665,0.0073,0.5433,0.0148,"[42, 43, 44, 45, 46]"
random,no_quality,random,C,0.6,,,,0.6867,0.0085,0.6679,0.0087,0.5462,0.0158,"[42, 43, 44, 45, 46]"
random,no_quality,random,D,0.6,,,,0.6668,0.0112,0.6436,0.0105,0.512,0.0089,"[42, 43, 44, 45, 46]"
random,no_quality,random,C+D,0.6,,,,0.677,0.0142,0.657,0.014,0.5348,0.0193,"[42, 43, 44, 45, 46]"
random,no_quality,random,C,0.8,,,,0.6783,0.0132,0.6578,0.0138,0.5366,0.0201,"[42, 43, 44, 45, 46]"
random,no_quality,random,D,0.8,,,,0.6531,0.0185,0.6271,0.0187,0.4963,0.0188,"[42, 43, 44, 45, 46]"
random,no_quality,random,C+D,0.8,,,,0.665,0.0175,0.6431,0.0175,0.5214,0.0221,"[42, 43, 44, 45, 46]"
random,no_quality,random,C,1.0,,,,0.6673,0.0108,0.6424,0.0137,0.5187,0.0229,"[42, 43, 44, 45, 46]"
random,no_quality,random,D,1.0,,,,0.6358,0.0183,0.6022,0.0185,0.464,0.0189,"[42, 43, 44, 45, 46]"
random,no_quality,random,C+D,1.0,,,,0.6535,0.0164,0.6262,0.0158,0.5019,0.0178,"[42, 43, 44, 45, 46]"
random,no_both,random,C,0.2,,,,0.7146,0.0074,0.6832,0.0083,0.537,0.0117,"[42, 43, 44, 45, 46]"
random,no_both,random,D,0.2,,,,0.7088,0.0043,0.6756,0.0043,0.5255,0.0073,"[42, 43, 44, 45, 46]"
random,no_both,random,C+D,0.2,,,,0.7111,0.0033,0.6785,0.0034,0.5296,0.0068,"[42, 43, 44, 45, 46]"
random,no_both,random,C,0.4,,,,0.7049,0.0108,0.6718,0.013,0.5259,0.0203,"[42, 43, 44, 45, 46]"
random,no_both,random,D,0.4,,,,0.6942,0.0092,0.658,0.009,0.5068,0.0143,"[42, 43, 44, 45, 46]"
random,no_both,random,C+D,0.4,,,,0.6996,0.0072,0.6648,0.0065,0.5163,0.0111,"[42, 43, 44, 45, 46]"
random,no_both,random,C,0.6,,,,0.6965,0.0098,0.6606,0.0124,0.5119,0.0205,"[42, 43, 44, 45, 46]"
random,no_both,random,D,0.6,,,,0.6788,0.0115,0.6372,0.0105,0.4819,0.0134,"[42, 43, 44, 45, 46]"
random,no_both,random,C+D,0.6,,,,0.6876,0.0082,0.6494,0.0049,0.4997,0.01,"[42, 43, 44, 45, 46]"
random,no_both,random,C,0.8,,,,0.6858,0.0106,0.6493,0.0135,0.5047,0.0228,"[42, 43, 44, 45, 46]"
random,no_both,random,D,0.8,,,,0.6646,0.0147,0.6201,0.0145,0.4692,0.0114,"[42, 43, 44, 45, 46]"
random,no_both,random,C+D,0.8,,,,0.6761,0.0096,0.6358,0.0067,0.4888,0.0081,"[42, 43, 44, 45, 46]"
random,no_both,random,C,1.0,,,,0.6757,0.0118,0.637,0.0159,0.4987,0.0225,"[42, 43, 44, 45, 46]"
random,no_both,random,D,1.0,,,,0.65,0.0117,0.6,0.0129,0.4554,0.0077,"[42, 43, 44, 45, 46]"
random,no_both,random,C+D,1.0,,,,0.6655,0.0065,0.6219,0.0068,0.4797,0.0103,"[42, 43, 44, 45, 46]"
